Actual Ranking ,Change ranking,Country,Speed
1,-,Qatar,314.78
2,-,United Arab Emirates,278.88
3,-,Kuwait,228.96
4,-,Iceland,169.80
5,+1,Denmark,151.29
6,+7,Norway,151.04
7,-2,South Korea,150.25
8,+2,Macau (SAR),142.15
9,-2,China,133.75
10,-2,Netherlands,130.61
11,-2,United States,125.14
12,-,Bahrain,117.74
13,-2,Saudi Arabia,117.12
14,+5,Finland,111.87
15,+1,India,104.15
16,-2,Lithuania,104.06
17,-,Brunei,102.41
18,+2,Sweden,101.48
19,+4,Singapore,101.43
20,-5,Bulgaria,100.95
21,+4,Estonia,100.74
22,-1,Croatia,100.39
23,+1,Luxembourg,98.69
24,-6,Canada,97.82
25,-3,France,96.62
26,-,Switzerland,95.48
27,+3,Portugal,93.15
28,-1,Malaysia,91.69
29,+2,Australia,91.29
30,-2,Latvia,90.06
31,-2,North Macedonia,89.73
32,-,Maldives,88.35
33,-,Austria,86.70
34,+4,Greece,86.44
35,+5,Czechia,82.40
36,-2,Taiwan,80.81
37,-,Belgium,78.82
38,+1,Oman,76.92
39,-4,Malta,76.86
40,-4,Slovenia,74.73
41,+8,Mauritius,70.55
42,-,New Zealand,69.49
43,+2,Cyprus,65.58
44,-3,Uruguay,63.67
45,+2,Poland,61.29
46,-2,Romania,60.88
47,-4,Hong Kong (SAR),60.46
48,+2,Brazil,59.53
49,-3,Montenegro,58.58
50,-2,Germany,58.50
51,-,United Kingdom,55.01
52,-,Slovakia,54.75
53,+5,Hungary,52.49
54,-1,Serbia,51.44
55,-,Italy,51.42
56,+7,Suriname,51.28
57,-3,Albania,50.88
58,+1,Vietnam,50.88
59,-2,South Africa,50.70
60,+1,Spain,49.97
61,-5,Azerbaijan,49.62
62,-2,Japan,46.46
63,+3,Botswana,45.94
64,-,Thailand,45.05
65,+14,Zimbabwe,44.68
66,+4,Kazakhstan,43.62
67,-2,Israel,43.33
68,-1,Morocco,42.58
69,-,Georgia,41.65
70,-2,Kosovo,41.34
71,+1,Turkey,40.42
72,+2,Ireland,40.36
73,-,Chile,37.98
73,+5,Senegal,37.98
75,+5,Moldova,35.98
76,-1,Iran,35.66
77,-,Lebanon,33.77
78,+4,Guatemala,32.92
79,+5,Philippines,32.37
80,+6,Costa Rica,31.30
81,+4,Iraq,31.27
82,+15,Jamaica,31.12
83,-2,Ethiopia,31.09
84,+7,Honduras,30.64
85,+9,Uganda,30.14
86,+30,Guyana,30.09
87,-4,Trinidad and Tobago,29.97
88,+5,Uzbekistan,29.93
89,-,Armenia,29.57
90,-3,Kyrgyzstan,29.38
91,+5,Argentina,28.76
92,+13,Laos,28.24
93,-5,El Salvador,28.16
94,+1,Mexico,28.14
95,+19,Fiji,27.83
96,-6,Dominican Republic,27.05
97,-26,Côte d'Ivoire,26.72
98,+5,Indonesia,26.66
99,+2,Tunisia,26.56
100,+2,Ukraine,26.13
101,+6,Jordan,26.05
102,+2,Myanmar (Burma),26.01
103,+5,Cambodia,25.69
104,-5,Egypt,25.66
105,+6,Russia,25.04
106,+4,Tanzania,24.83
107,+2,Algeria,24.64
108,+5,Kenya,24.60
109,+6,Namibia,23.88
110,+2,Bangladesh,23.83
111,-13,Nigeria,23.64
112,-6,Bosnia and Herzegovina,23.27
113,+6,Somalia,22.51
114,+4,Rwanda,20.87
115,-15,Ecuador,20.80
116,+10,Peru,19.30
117,-,Zambia,18.97
118,+4,Colombia,18.89
119,+9,DR Congo,18.89
120,-,Panama,18.85
121,+6,Pakistan,18.56
122,+1,Sri Lanka,18.53
123,+1,Paraguay,18.31
124,+1,Papua New Guinea,17.64
125,+4,Mozambique,17.44
126,-5,Ghana,16.11
127,+6,Nicaragua,15.66
128,+3,Angola,15.23
129,+1,Libya,15.13
130,+5,Mongolia,14.23
131,+5,Nepal,14.08
132,+5,Syria,13.87
133,-1,Cameroon,13.72
134,+5,Belize,11.96
135,+6,Sudan,11.79
136,+4,Venezuela,11.66
137,+1,Belarus,11.50
138,+4,Bolivia,10.24
139,+4,Haiti,10.09
140,+4,Tajikistan,6.90
141,+4,Afghanistan,6.14
142,+4,Yemen,5.44
143,+4,East Timor,5.35
144,+4,Cuba,4.15
